Field=#~Integer~#~50|Field=ComponentLink1Description~String~ComponentLink1Description~75|Field=ComponentLink1URL~String~ComponentLink1URL~75|Field=Description~String~Description~201|Field=Designator~String~Designator~135|Field=Digikey Part No~String~Digikey Part No~44|Field=Digikey Part Number~String~Digikey Part Number~44|Field=Manufacturer~String~Manufacturer~44|Field=Manufacturer Part Number~String~Manufacturer Part Number~44|Field=Quantity~Integer~Quantity~44|Field=Value~String~Value~44|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Robonauts.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\Robonauts\Robonauts.PrjPcb|ReportField=Title~Bill of Materials For Project [Robonauts.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~120|ReportField=ReportTime~12:04:29|ReportField=ReportDate~06-04-2017|ReportField=ReportDateTime~06-04-2017 12:04:29|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~06-04-2017|ReportField=CurrentTime~12:00:54|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\Robonauts\ATSAMB11.SchDoc|ReportField=DocumentName~ATSAMB11.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~06-04-2017|ReportField=Organization~|ReportField=ProjectName~Robonauts.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Robonauts.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\Robonauts\Robonauts.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Datasheet|http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105KP8NNNC/1276-1946-1-ND/3890032, http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105KP8NNNC/1276-1946-1-ND/3890032, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.yageo.com/exep/pages/download/literatures/ProductSelectionGuide%202014_Final_2.pdf, http://www.yageo.com/exep/pages/download/literatures/ProductSelectionGuide%202014_Final_2.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL10B105KP8NNNC/1276-1946-1-ND/3890032, http://www.mouser.com/ProductDetail/AVX/02013A7R5BAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQB52zW9BgkFE2gr3mrXUPHs%3d, http://www.mouser.com/ProductDetail/AVX/02013A7R5BAT2A/?qs=sGAEpiMZZMs0AnBnWHyRQB52zW9BgkFE2gr3mrXUPHs%3d, http://www.digikey.com/product-detail/en/johanson-technology-inc/251R14S180GV4T/712-1321-1-ND/1786783, http://www.digikey.com/product-detail/en/johanson-technology-inc/251R14S180GV4T/712-1321-1-ND/1786783, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf, http://www.kemet.com/Lists/ProductCatalog/Attachments/53/KEM_C1002_X7R_SMD.pdf|CAP CER 10UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 22UF 6.3V X5R 0603, CAP CER 10UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 22UF 6.3V X5R 0603, CAP CER 10UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 4.7UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 4.7UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 1UF 10V X7R 0603, CAP CER 1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 10000PF 50V X7R 0603, CAP CER 10000PF 50V X7R 0603, CAP CER 10UF 10V X5R 0603, CAP CER 10UF 10V X5R 0603, CAP CER 1UF 10V X7R 0603, Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 7.5pF C0G 0201 .1pF Tol, Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 7.5pF C0G 0201 .1pF Tol, CAP CER 18PF 250V NP0 0603, CAP CER 18PF 250V NP0 0603, CAP CER 10UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 10UF 10V X5R 0603, CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 10V X7R 0603|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C40, C41, C42, C43, C44|490-10474-1-ND, 399-1095-1-ND, 399-1095-1-ND, 490-7611-1-ND, 490-10474-1-ND, 399-1095-1-ND, 399-1095-1-ND, 490-7611-1-ND, 490-10474-1-ND, 399-1095-1-ND, 490-10477-1-ND, 399-1095-1-ND, 490-10477-1-ND, 399-1095-1-ND, 399-1095-1-ND, 1276-1946-1-ND, 1276-1946-1-ND, 399-1095-1-ND, 399-1095-1-ND, 399-1095-1-ND, 399-1095-1-ND, 311-1085-1-ND, 311-1085-1-ND, 490-10474-1-ND, 490-10474-1-ND, 1276-1946-1-ND, [NoParam], [NoParam], 712-1321-1-ND, 712-1321-1-ND, 490-10474-1-ND, 399-1095-1-ND, 399-1095-1-ND, 399-1095-1-ND, 490-10474-1-ND, 399-1095-1-ND, 399-1095-1-ND||Murata Electronics North America, KEMET, KEMET, Murata Electronics North America, Murata Electronics North America, KEMET, KEMET, Murata Electronics North America, Murata Electronics North America, KEMET, Murata Electronics North America, KEMET, Murata Electronics North America, KEMET, KEMET, Samsung Electro-Mechanics America, Inc., Samsung Electro-Mechanics America, Inc., KEMET, KEMET, KEMET, KEMET, Yageo, Yageo, Murata Electronics North America, Murata Electronics North America, Samsung Electro-Mechanics America, Inc., AVX, AVX, Johanson Technology Inc., Johanson Technology Inc., Murata Electronics North America, KEMET, KEMET, KEMET, Murata Electronics North America, KEMET, KEMET|GRM188R61A106KE69D, C0603C104K8RACTU, C0603C104K8RACTU, GRM188R60J226MEA0D, GRM188R61A106KE69D, C0603C104K8RACTU, C0603C104K8RACTU, GRM188R60J226MEA0D, GRM188R61A106KE69D, C0603C104K8RACTU, GRM188R61A475KE15D, C0603C104K8RACTU, GRM188R61A475KE15D, C0603C104K8RACTU, C0603C104K8RACTU, CL10B105KP8NNNC, CL10B105KP8NNNC, C0603C104K8RACTU, C0603C104K8RACTU, C0603C104K8RACTU, C0603C104K8RACTU, CC0603KRX7R9BB103, CC0603KRX7R9BB103, GRM188R61A106KE69D, GRM188R61A106KE69D, CL10B105KP8NNNC, 02013A7R5BAT2A, 02013A7R5BAT2A, 251R14S180GV4T, 251R14S180GV4T, GRM188R61A106KE69D, C0603C104K8RACTU, C0603C104K8RACTU, C0603C104K8RACTU, GRM188R61A106KE69D, C0603C104K8RACTU, C0603C104K8RACTU|37|10uF, 0.1uF, 0.1uF, 22uF, 10uF, 0.1uF, 0.1uF, 22uF, 10uF, 0.1uF, 4.7uF, 0.1uF, 4.7uF, 0.1uF, 0.1uF, 1uF, 1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 10nF, 10nF, 10uF, 10uF, 1uF, 7.5pF, 7.5pF, 18pF, 18pF, 10uF, 0.1uF, 0.1uF, 0.1uF, 10uF, 0.1uF, 0.1uF
2|Datasheet|http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf|CAP CER 47UF 6.3V X5R 0805|C33, C39|490-13249-1-ND||Murata Electronics North America|GRM219R60J476ME44D|2|47uF
3|Datasheet|http://www.yageo.com/documents/recent/UPY-GPHC_X7R_6.3V-to-50V_17.pdf, http://search.murata.co.jp/Ceramy/image/img/A01X/partnumbering_e_01.pdf, http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B475KQ8NQNC_Spec.pdf, http://www.kemet.com/docfinder?Partnumber=C0603C101K5RACTU, http://www.samsungsem.com/kr/support/library/product-catalog/__icsFiles/afieldfile/2016/09/27/MLCC.pdf|CAP CER 0.1UF 16V X7R 0603, CAP CER 22UF 6.3V X5R 1206, CAP CER 4.7UF 6.3V X7R 0603, CAP CER 100PF 50V X7R 0603, CAP CER 330PF 100V X7R 0603|C34, C35, C36, C37, C38|311-1088-1-ND, 490-13247-1-ND, 1276-2087-1-ND, 399-7824-1-ND, 1276-6658-1-ND||Yageo, Murata Electronics North America, Samsung Electro-Mechanics America, Inc., KEMET, Samsung Electro-Mechanics America, Inc.|CC0603KRX7R7BB104, GRM188R60J476ME15D, CL10B475KQ8NQNC, C0603C101K5RACTU, CL10B331KC8WPNC|5|0.1uF, 47uF, 4.7uF, 100pF, 330pF
4|Datasheet|http://www.bourns.com/docs/Product-Datasheets/CD0603_1005.pdf|Default Diode|D1|CD0603-S01575CT-ND||Bourns Inc.|CD0603-S01575|1|
5|Datasheet|http://katalog.we-online.de/led/datasheet/150060YS75000.pdf|Typical INFRARED GaAs LED|D2|732-4981-1-ND||Wurth Electronics Inc.|150060YS75000|1|
6|Datasheet|http://www.jst-mfg.com/product/pdf/eng/ePH.pdf||H2|455-1719-ND||JST Sales America Inc.|S2B-PH-K-S(LF)(SN)|1|
7|Datasheet|https://cdn.harwin.com/pdfs/M50-360.pdf|CONN HDR 1.27MM SMD AU 10POS|H3|952-1389-ND||Harwin Inc.|M50-3600542|1|
8|Datasheet|https://www.hirose.com/product/en/download_file/key_name/ZX/category/Catalog/doc_file_id/31704/?file_category_id=4&item_id=13&is_series=1|CONN RCPT USB MICRO AB SMD R/A|H4|H125279CT-ND||Hirose Electric Co Ltd|ZX62-AB-5PA(31)|1|
9|||Header, 2-Pin|H5|||||1|
10|Datasheet, link|https://www.digikey.com/products/en/sensors-transducers/optical-sensors-ambient-light-ir-uv-sensors/536?k=vcnl+4010&k=&pkeyword=vcnl+4010&pv7=2&pv16=14926&FV=ffe00218&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25|SENS IR PROXIMITY AMB LT 12LLP|IR1, IR2||VCNL4010-GS08CT-ND|Vishay Semiconductor Opto Division|VCNL4010-GS08|2|
